"אינדקס","מקור","תרגום","הערות"
"0","about | activator | am | an | and | another | any | around | at | bad | been | big | cadilac | can | castle | clearwater | cocktail | corvette | cotton | creme | cubby | damn | delphoria | did | don | every | evidence | for | front | fucking | glove | good | got | have | hers | his | honorable | hurry | if | illegal | in | into | is | it | its | jason | kim | large | later | leroy | lets | lid | little | loaded | lpd | malcolm | marvin | may | mine | miranda | more | morris | mostwanted | my | no bail | nobail | now | of | oh | other | parking | patrol car | paul | piece of | pigeon | please | powdery | quickly | r j | safety | say | serial | slowly | small | some | soon | steve | stolen | that | the | then | these | this | those | through | till | to | trick | unlawful | until | us | victor | video | voice | want | wanted | we | what | whats | when | white | why | will | would | you | young | your","את","זו רשימה של מילים שפשוט מתעלמים מהן.
איו צורך לתרגם, אלא לכתוב מילים דומות בעברית."
"1","anyword","","אין לתרגם"
"2","examine | feel | inspect | investigate | look | look on | looking | read | reading | see | show | view","הבט | הסתכל | בחן | קרא",""
"3","do | fix | making | prepare","עשה | תקן | הכן",""
"4","no | nothing","לא | כלום",""
"5","quit","צא מהמשחק | פרוש",""
"6","location | position","מיקום | מקום | אתר",""
"7","slow","איטי | לאט",""
"8","normal","נורמלי | רגיל",""
"9","fast","מהיר | מהר",""
"10","fastest","הכי מהר | הכי מהיר",""
"11","pause","עצירה | השהייה",""
"12","wet","רטוב | לח",""
"13","restart","התחלה מחדש | התחל מחדש",""
"14","get | grab | obtain | pick | pick up | snatch | take","הרם | קח",""
"15","backup | backups | help | help me","גיבוי | תגבורת | עזרה | הצילו | עזור | עזרי | תעזור | תעזרי",""
"16","hit | kick | punch | slap | stomp | strike","הכה | הלום | חבוט | בעט |תקוף | סטור",""
"17","bye | goodbye | so long","להתראות | שלום | ביי",""
"18","sent","נשלח",""
"19","accident | area | bar | blue room | building | cafe | carols | casino | chamber | court | court room | courthouse | courtroom | cove | hall | hallway | house | joint | lot | lounge | office | park | restaurant | room | rooms | scene | store | storeroom | tavern | willys","תאונה | אזור | שטח | בר | חדר כחול | בניין | מבנה | בית קפה | בית המשפט | אולם המשפט | מפרץ | אולם | לובי | מסדרון | פרוזדון | בית | מועדון | חניה | טרקלין | משרד | פארק | מסעדה | חדר | חדרים | זירה | חנות | מחסן | פאב | מסבאה | יששכר",""
"20","count","ספור",""
"21","dont move | freeze | halt | hold it | stop","אל תזוז | עמוד | עצור ",""
"22","hang","תלה",""
"23","pink slip | registration","מכתב פיטורין | רישיון רכב | רישום",""
"24","who","מי",""
"25","all | everything","הכל | הכול",""
"26","get up | rise | stand | stand up","קום | עמוד | התרומם",""
"27","feed","האכל",""
"28","curb | dirt | floor | ground | pavement | sidewalk | street","עיקול | לכלוך | רצפה | אדמה | מרצפת | מדרכה | רחוב",""
"29","stair | staircase | stairs | stairway | steps | upstairs","מדרגה | גרם מדרגות | מדרגות | מעלות | שלבים | למעלה",""
"30","pane | window | windows","שמשה | חלון | חלונות",""
"31","o | open | roll","תפתח | תגלגל | פתח",""
"32","move | moving | press | pull | push | shove | turn","תזוז | נע | תלחץ | תמשוך | תדחוף | תהדוף | תסובב | הזז | הנע | תזיז | תזיזו | לחץ",""
"33","enter | exit | get going | get in | get into | get moving | get out | go | go to | leave | lets go | ride | walk","תיכנס | תצא | תתחיל | תיכנס לתוך | תנוע | | לך | לך אל | תעזוב | בוא נלך | תיסע | תלך | כנס | היכנס | צא",""
"34","climb | climb on","תטפס | לטפס על",""
"35","answer | comfort | speak | talk","תענה | תנחם | תגיד | תדבר | דבר | אמור | שוחח",""
"37","bed","מיטה",""
"38","below | beneath | under","מתחת | למטה | תחת",""
"39","above | across | over | top of","מעל | מעבר | על | בראש",""
"40","cabinet | closet","ארון",""
"41","drawer | drawers","מגירה | מגירות",""
"42","carpet | carpets | rug | rugs","שטיח | שטיחים | מרבד | מרבדים",""
"43","out","בחוץ",""
"44","car keys | key | keys","מפתחות למכונית | מפתח | מפתחות",""
"45","drop | place | put | replace | return","תפיל | תניח | תשים | תחליף | תחזיר | החזר | שים | הפל | זרוק | הנח",""
"46","lay | lie","תשכב | לשכב | שכב",""
"47","swing","נדנדה",""
"48","top","עליון",""
"49","empty | remove | unload","תרוקן | תסיר | תפרוק | הסר | פרוק | התפשט",""
"50","painting | photograph | photographs | picture | pictures | plaque | portrait","ציור | תצלום | תצלומים | תמונה | תמונות | לוחית | דיוקן",""
"51","back | behind | rear","אחורה | מאחורי | מאחור",""
"52","d | door | door jamb | doors","דלת | משקוף | דלתות",""
"53","lock","תנעל",""
"54","break | damage | wreck","שבור | תזיק | תהרוס",""
"55","chest | dresser","ארגז | תיבה",""
"56","inv | inven | inventory | object | objects | stuff","מלאי | פריט | פריטים | דברים",""
"57","conceal | concealed | cover | hide","תסתיר | מוסתר | תכסה | תחביא",""
"58","counter | desk | table | tables","דלפק | שולחן עבודה | שולחן | שולחנות",""
"59","bookcase | bookcases | bookshelf | bookshelves | shelf | shelves","ספרייה | ספריות | מדף ספרים | מדפי ספרים | מדף | מדפים",""
"60","book | books | manual | manuals","ספר | ספרים | מדריך | מדריכים",""
"61","handle | trigger","ידית | הדק",""
"62","find | search | where | wheres","תמצא | תחפש | איפה | היכן",""
"63","bathe | clean | erase | wash | wipe","תתרחץ | נקי | תמחק | תשטוף | תנגב",""
"64","tree | trees","עץ | עצים",""
"65","begin | start","תתחיל | התחלה",""
"66","lamp | lamps | light | light pole | lights | pole","מנורה | מנורות | אור |  אורות | עמוד",""
"67","fire | kill | shoot","פתח באש | תהרוג | תירה",""
"68","cocaine | dope | drug | drugs | grass | marijuana | narcotic | narcotics | pot | substance","קוקאין | סם | סמים | גראס | מריחואנה | נרקוטי |חשיש | חומרים אסורים",""
"69","fence | side | sides | wall | walls","גדר | צד | צדדים | קיר | קירות",""
"71","ceiling | roof","תקרה | גג",""
"72","food | meal | sandwich","אוכל | ארוחה | סנדוויץ'",""
"73","ran","רץ",""
"74","name | names","שם | שמות",""
"75","bite | eat | lick | swallow","תנשך | תאכל | תלקק | תבלע",""
"76","chug | drink | sip","תשתה | תלגום | תגמע | שתה",""
"77","knife","סכין",""
"78","cut | cut up","תחתוך | תגזור",""
"79","sit | sit down","שב | תתיישב",""
"80","administer | give | offer | pass | perform | submit","תספק | תן | תביא | תציע | תעביר | תבצע | תפקיד",""
"81","bottle | bottles","בקבוק | בקבוקים",""
"82","equipment","ציוד",""
"83","off","כבוי",""
"84","banister | rail | railing","מעקה | גדר",""
"85","powder","אבקה",""
"86","nap | rest | sleep","נמנום | מנוחה | שינה",""
"87","speed","מהירות",""
"88","belt | gun belt | gunbelt | holster","חגורה | חגורת אקדח | נרתיק | חגור",""
"89","bike | bikes | hog | hogs | motorcycle | motorcycles","אופנוע | אופנועים | דו-גלגלי",""
"90","flesh | skin","בשר | עור",""
"91","hands","ידיים | ידים",""
"92","dui | dwi | influence","נהיגה בשכרות | נהיגה תחת השפעה | השפעה",""
"93","rinse","שטוף",""
"94","make | makes | wants","תעשה | עושה | רוצה",""
"95","need","צריך",""
"96","use | using | with","השתמש | להשתמש | עם",""
"97","following | next","העוקב | הבא",""
"98","report","דו""ח",""
"99","bonds | i'm | me | myself | self | sonny | sonny bonds | whitey","בונדס | אני | עצמי | אנוכי | בני | בני בונדס | ווייטי | אחרי | אחריי",""
"100","carol | cook | waitress","קרול | טבחית | מלצרית | רקפת",""
"101","camera","מצלמה",""
"102","hug | kiss","חבק | נשק",""
"103","code","קוד",""
"104","uncuff","הורד את האזיקים | הורד אזיקים | הורד האזיקים",""
"105","creek | river | shower | stream | water","ערוץ | נחל | מקלחת | זרם | מים",""
"106","card | cards | gamble | gambling | poker","קלף | קלפים | להמר | הימור | פוקר",""
"107","citation | pinch | ticket | tickets","זימון | מעצר | דו""ח | דו""חות | דוח",""
"108","property","רכוש",""
"109","auto | automobile | automobiles | autos | car | cars | traffic | vehicle | vehicles","אוטו | רכב | רכבים | מכונית | מכוניות | תנועה | כלי רכב | כלי רכב",""
"110","bush | bushes | plant | plants | shrub | shrubs","שיח | שיחים | צמח | צמחים | שרך | שרכים",""
"111","washington","וושינגטון",""
"112","waste basket | wastebasket","פח זבל | פח אשפה",""
"113","smoke | steam","עשן | אדים",""
"114","away","הרחק",""
"116","look in | look inside | look into","תביט ב | תסתכל בתוך | תסתכל לתוך",""
"117","up","למעלה",""
"118","down","למטה | על הרצפה",""
"119","bag | pouch | purse","שק | נרתיק | תיק יד",""
"120","unlock","פתח נעילה",""
"121","from","מ",""
"122","c | close | shut","סגור | טרוק",""
"123","bills | cash | dollar | dollars | money","שטרות | מזומן | דולר | דולרים | כסף",""
"124","furnishings | furniture","ריהוט | רהיטים",""
"125","tower","מגדל",""
"126","chicken","תרנגול",""
"130","inside","בתוך",""
"131","foot","רגל",""
"132","knock | knock on","דפוק | דפיקה על",""
"133","number | numbers | vin","מספר | מספרים | שלדה",""
"134","bench | benches | chair | seat | seats | stool","ספסל | ספסלים | כיסא | מושב | מושבים | שרפרף | כסא",""
"135","warrant","צו מעצר | צו",""
"136","emergencies | emergency | important | urgent","מקרי חירום | מקרה חירום | חשוב | דחוף | חירום",""
"138","fbi","שב""כ",""
"139","flyer | list | poster","עלון | רשימה | מודעה | פוסטר | תמונה | כרזה",""
"140","drunk | intoxicated","שיכור | מבוסם",""
"141","drive | driver | drivers | driving | drove","סע | נהג | נהגים | נהיגה | נהג",""
"142","cuff | cuffed | cuffs | handcuff | handcuffed | handcuffs","תאזוק | אזוק | אזיקים | אזיק | אזוק | אזיקים",""
"143","crime | felony | infraction | misdemeanor | theft","פשע | עבירה | הפרה | עבירה קלה | גניבה",""
"144","thank | thank you | thanks","תודה | תודה לך | תודה",""
"145","cane | derringer","מקל | מקל הליכה",""
"146","smell | sniff | snort","תריח | תרחרח | תשאף",""
"147","smear","תמרח",""
"148","throw","זרוק",""
"149","city | lytton | town","עיר | לייטון | עיירה",""
"150","page | pg","עמוד | עמ'",""
"151","hair | head","שיער | ראש",""
"152","piece | pieces","חתיכה | חתיכות",""
"153","blind | blinds | curtain | curtains | drapes | shade | shades","תריס | תריסים | וילון | וילונות | מסכים | ציליה | ציליות",""
"154","release","שחרר",""
"155","wake","תעיר",""
"156","knob | knobs","ידית | ידיות",""
"157","wrote","כתב",""
"158","save","שמור",""
"159","restore","שחזר",""
"160","game","משחק",""
"161","dial","חייג",""
"162","glass | glasses","כוס | כוסות",""
"163","ante | deal | dealing | pushing | sell | selling","דמי הימורים | חלק | חלוקת קלפים | שכנוע | תמכור | מכירה",""
"164","phone | telephone","טלפון | שח-רחוק",""
"166","billfold | wallet","חריט | ארנק",""
"167","note | note book | notebook | notepad | notes","פתק | פנקס | פנקס | פנקס רשימות | הערות",""
"168","black","שחור",""
"169","blue","כחול",""
"170","television | tv","טלוויזיה | מרקע",""
"171","lobby","מבואה",""
"172","cab | taxi","מונית | ספיישל",""
"173","flush","להוריד את המים",""
"174","stall | toilet","שירותים | אסלה",""
"175","bath | bath room | bathroom | restroom","אמבטיה | חדר אמבטיה | נוחיות | חדר שירותים | בית שימוש",""
"176","basin | sink","אגן | כיור",""
"177","night stand | nightstand","ארונית לילה | שידה",""
"180","ambulance | coroner | hospital","אמבולנס | חוקר מקרי מוות | בית חולים",""
"181","ask","שאל | בקש",""
"182","cad | caddie | cadillac","קד | קדי | קדילאק",""
"183","by standers | bystanders | couple | crowd | customers | folks | people","צופים | עוברי אורח | זוג | קהל | לקוחות | עמך | אנשים",""
"184","slide","לגלוש",""
"186","menu","תפריט",""
"189","trophy","גביע",""
"190","cruise | patrol","סיור | ניידת",""
"191","shop","לקנות",""
"192","wino","שיכור",""
"194","complaint | difficulty | matter | problem | trouble","תלונה | קושי | בעיה | אתגר | צרות",""
"195","tool | tools","כלי | כלים",""
"196","occupant | occupants","דייר | דיירים",""
"197","change | changed | dress | dressed | put on | strip | uncover | undress | undressed | wear","להחליף | החליף | שמלה | ללבוש | לפשוט | להוריד | להתפשט | ערום | ללבוש",""
"198","envelope | letter | mail | message | messages | subpoena | subpoenas","מעטפה | דואר | מכתב | הודעה | הודעות | צו | צווים",""
"200","memo | memos | pad","תזכורת | תזכורות | משטח | תזכיר | מזכר",""
"201","request","בקשה | תבקש",""
"202","transfer","תעביר",""
"203","boot | boot up","הפעל | הדלק",""
"204","power","חשמל",""
"205","bug | bugs | microphone | transmitter","מכשיר ציתות | מכשירי ציתות | מיקרופון | משדר",""
"206","pierson","פירסון",""
"207","tattoo","קעקוע",""
"208","left","שמאלה",""
"209","dispenser | towel | towels","התקן | מגבת נייר | מגבות נייר | מגבת",""
"210","caffeine | coffee | coke | milk | pepsi | soda | tea","קפאין | קפה | קולה | חלב | פפסי | סודה | תה",""
"211","new","חדש",""
"214","check | lock up | test","בדיקה | נעילה | בחינה",""
"215","booking","מעצר",""
"216","cell | jail","תא | כלא",""
"218","operation","מבצע",""
"219","undercover","סמוי",""
"220","doing","שלומך","עושה?"
"223","how","איך","מה?"
"224","are","",""
"225","juke box | jukebox | jute box | jutebox | music | record | song","תיבת נגינה | תיבת נגינה | גרמופון אוטומטי | גרמופון אוטומטי | מוסיקה | תקליט | שיר",""
"226","play | playing | select","שחק | משחקים | בחר",""
"227","jack","ג'ק",""
"229","right | rights","זכות | זכויות",""
"230","convict | criminal | criminals | crook | crooks | inmate | prisoner | suspect | suspects","נאשם | פושע | פושעים | נוכל | נוכלים |עציר | אסיר | חשוד | חשודים",""
"231","apprehend | arrest | bust","לעצור | לאסור | לתפוס",""
"235","dart | dartboard | darts","חץ | לוח חצים | חצים",""
"236","interrogate | question","לחקור | לתשאל",""
"238","dispatch | dispatcher | headquarters | hq | station","מוקד | מוקדן | מטה | מטה | תחנה",""
"239","happened","קרה",""
"240","hello | hi","שלום | היי",""
"243","air | sky","אוויר | שמיים",""
"244","information | tip | tips","מידע | עצה | עצות",""
"245","briefing | meeting","תדריך | פגישה",""
"247","box | boxes | compartment | compartments | cubbyhole | cubbyholes | hole | holes | mailbox | mailboxes | pigeonhole | pigeonholes","קופס | קופסאות | תא | תאים | אשנב | אשנבים | חור | חורים | תיבת דואר | תיבות דואר | שובך | שובכים",""
"248","trunk","תא מטען",""
"249","lytton tribune | newspaper | paper | papers","לייטון טריביון | עיתון | נייר | ניירות",""
"250","buy | order | purchase","קנה | תזמין | תרכוש",""
"251","locker","ארונית | לוקר | ארון",""
"252","ammo | ammunition | bullet | bullets | clip | loader | round | rounds | shell | shells | slug | slugs | speed loader","תחמושת | חימוש | כדור | כדורים | מחסנית | טוען | סיבוב | סיבובים | תרמיל | תרמילים | קליע | קליעים | טעינה מהירה",""
"253","breast | breasts | knocker | knockers | nipple | nipples | tit | tits","חזה | בז'ז'ים | ציץ | ציצים | פטמה | פטמות | שד | שדיים",""
"254","badge | shield","תג | מגן",""
"255","bail","ערבות",""
"256","briefcase | case","מזודה | תיק",""
"257","load","טען",""
"258","automatic | gun | guns | pistol | revolver | weapon | weapons","אוטומטי | רובה | רובים | אקדח | גלוק | נשק | נשקים | באקדח",""
"259","pinch book | ticket book","פנקס | פנקס דו""חות",""
"261","pen","עט",""
"262","blackboard | chalk | chalkboard","לוח | גיר | לוח גיר",""
"263","carry | hold","סחוב | תחזיק",""
"264","jog | run","ריצה קלה | רוץ",""
"265","print | write","תדפיס | כתוב",""
"266","hop | jump | skip","קפץ | קפוץ | דלג",""
"267","pencil","עפרון",""
"268","call | contact | extender | extenders | radio | radio extender | radio extenders | radios | transmit","התקשר | צור קשר | מאריך טווח | מאריכי טווח | מכשיר קשר | מאריך טווח מכשיר קשר | מאריכי טווח מכשיר קשר | מכשירי קשר | שדר | רדיו",""
"269","bribe","שוחד",""
"270","clock | time | watch","שעון | זמן | שעון יד",""
"272","art | bartender | biker | bobby | boy | boys | clerk | cop | cops | custodian | dealer | dealers | desk clerk | dooley | doorman | doper | dopers | dude | dudes | fudley | guys | hamilton | he | him | jailer | janitor | jefferson | lieutenant | lt | lt morgan | man | mans | men | mens | morgan | officer | person | police | policeman | policemen | pusher | pushers | russ | sarge | sergeant | sgt | victim | willy | witness | woody","אומנות | ברמן | אופנוען | בובי | ילד | ילדים | פקיד | שוטר | שוטרים | אפוטרופוס | סוחר | סוחרים | פקיד קבלה | דולי | שוער | משתמש | משתמשים | גבר | גברים | פאדלי | חבר'ה | המליטון | הוא | שלו | סוהר | שרת | ג'פרסון | סגן | סגן | סדן מורגן | איש | של איש | אנשים | של אנשים | מורגן | שוטר | איש | משטרה | שוטר | שוטרים | סוחר סמים | סוחרי סמים | ראס | סמל | סמל | סמל | קורבן | ווילי | עד | וודי",""
"273","friend | friends | keith | laura | narc | partner","חבר | חברים | קית' | לורה | מלשן | שותף",""
"274","pocket | pockets","כיס | כיסים",""
"275","eraser","מחק",""
"276","nightstick | pr24","אלה",""
"277","body","גוף",""
"278","tow truck","משאית גרר",""
"279","podium | pulpit","דוכן | בימה",""
"280","reach","תושיט יד",""
"281","gum","מסטיק",""
"282","board | key board","לוח | לוח מפתחות",""
"283","clothes | clothing | garment | garments | pants | pimp suit | shirt | suit | trousers | uniform | white suit","בגדים | ביגוד | לבוש | מלבושים | מכנסיים | חליפת סרסור | חולצה | חליפה | טרנינג | מדים | חליפה לבנה",""
"284","leak | pee | piss | urinate","להשתין | לעשות פיפי | מספר אחד | להטיל מים",""
"285","crap | dump | shit","לחרבן | מזבלה | חרא",""
"286","broad | daughter | female | girl | girls | helen | her | hooker | judge | judge palmer | lady | marie | palmer | prostitute | she | sweet cheeks | whore | woman | women | your honor","בחורה | בת | נקבה | ילדה | ילדות | הלן | שלה | זונה | שופט | השופט פאלמר | גברת | מארי | פאלמר | יצאנית | היא | לחיים מתוקות | נפקנית | אישה | נשים | כבוד השופטת",""
"287","aim","כוון",""
"288","draw","שלוף",""
"289","file | files | folder | folders","תיק | תיקים | תיקייה | תיקיות",""
"290","computer | keyboard | monitor | printer","מחשב | מקלדת | מסך | מדפסת",""
"292","on","דולק",""
"293","sw9764912","",""
"294","bleach","אקונומיקה",""
"295","clipboard","לוח | לוח כתיבה",""
"308","silk","משי",""
"309","panties | skivvies | underwear","תחתונים | חוטיני | בוקסר",""
"310","dog","כלב",""
"311","speaker | speakers","דובר | דוברים",""
"312","stink","סרחון",""
"313","bait","פתיון",""
"314","consumer","צרכן",""
"315","diamond | diamonds","יהלום | יהלומים",""
"316","ring | rings","טבעת | טבעות",""
"317","fart","פלוץ",""
"318","cunt | pussy","כוס | פות",""
"319","asshole | balls | dick | prick","חור-תחת | ביצים | זין | שמוק",""
"320","ok | ten four | yes","בסדר | היישר | כן",""
"321","beer | booze | bourbon | gin | rum | scotch | whiskey | wine","בירה | אלכוהול | בורבון | ג'ין | רום | וויסקי | וויסקי | יין",""
"322","bell","צלצל",""
"323","pay","שלם",""
"324","rent","שכור",""
"326","basket | tray","סלסלה | מגש | סל | בסלסלה | בסל",""
"327","license plate | plate | plates","לוחית רישוי | לוחית | לוחיות",""
"328","id | id card | identification | identify | license | licenses","ת.ז | תעודת זהות | זיהוי | הזדהה | רשיון | רשיונות | רישיון",""
"332","eye | eyes | face | faces | mug","עין | עיניים | פרצוף | פנים | קלסתר",""
"333","sign | signature","תחתום | חתימה | חתום | חתמי",""
"334","fst | sober | sobriety","מבחן שכרות | פיכח | פיכחות",""
"335","nail","מסמר",""
"336","field","שדה",""
"337","come | follow","בוא | תעקוב | עקוב",""
"339","elevator | hoist | lift | raise","מעלית | הרמה | להרים | להעלות",""
"340","button | buttons | buzzer","כפתור | כפתורים | זמזם | לחצן",""
"341","one","אחת",""
"342","two","שתיים",""
"343","three","שלוש",""
"344","four","ארבע",""
"346","hope","תקווה",""
"347","dig","לחפור",""
"348","hotel","מלון",""
"349","awning","גגון",""
"351","planter | planter box","גנן | קופסת גינון",""
"352","tp","נייר טואלט",""
"356","var","משתנה",""
"357","priority","עדיפות",""
"359","flag","דגל",""
"361","reset","לאתחל",""
"362","set","סט",""
"363","blow | blow job | fuck | hump | make love | nasty | screw | seduce | sex | sleep with | suck","למצוץ | מציצה | לזיין | לדפוק | לעשות אהבה | מלוכלך | לתקוע | לפתות | מין |לשכב עם | למצוץ",""
"364","red","אדום",""
"365","map","מפה",""
"366","swim","לשחות",""
"367","continue | keep","להמשיך | לשמור",""
"368","flirt","פלירטוט",""
"369","dead | deceased","מת | מנוח",""
"370","cpr | first aid","החייאה | עזרה ראשונה",""
"371","injury | wound","פציעה | פצע",""
"372","dash | dashboard","לוח מחוונים | לוח מחוונים",""
"373","engine | motor","מנוע | מנוע",""
"374","blank","ריק",""
"375","marked","מסומן",""
"505","room key","מפתח לחדר",""
"506","gimme","תביא",""
"507","sound","קול",""
"508","blanket | sheet","שמיכה | סדין",""
"509","brick | bricks","לבנה | לבנים",""
"510","hundred","מאה",""
"511","bulletin","משדר",""
"512","fire hydrant | fire plug | fireplug | hydrant","ברז כיבוי אש | זרנוק | זרנוק | ברז כיבוי",""
"513","jeans | tshirt","ג'ינס | חולצה",""
"514","faster","מהר יותר",""
"515","slower","לאט יותר",""
"516","five","חמש",""
"521","hoffman | hoffmans","הופמן | של הופמן",""
"522","taselli","טאסלי | טסלי",""
"523","bains | death angel","ביינס | מלאך המוות",""
"524","frank","פרנק",""
"525","colby","קולבי",""
"526","simms | vic","סימס | קורבן",""
"531","justinfletch","ג'סטינפלץ'",""
"532","jenkins","ג'נקינס",""
"533","malone","מאלון",""
"534","watson","ווטסון",""
"541","beat","מקוף",""
"542","crack | cracks","סדק | סדקים",""
"543","preceding | previous","הבא | הקודם",""
"548","seat belt | seatbelt","חגורת בטיחות | חגורת בטיחות",""
"549","buckle | fasten","אבזם | להדק",""
"550","check in | register | sign in","צ'ק אין | רישום | הרשמה",""
"551","sing","שיר",""
"552","dry","יבש",""
"553","feather","נוצה",""
"554","carving | carvings | initials","חריטה | חריטות | ראשי תיבות",""
"555","service","שירות",""
"556","remain | stay | wait","הישאר | תישאר | חכה",""
"557","here","כאן",""
"558","label | tag","תווית | תג",""
"9999","rol","","אין לתרגם"
